date,temp,weather,wind,humidity,barometer,day_power
2016-01-01,5.822222222222222,Sunny,10.777777777777779,84.86666666666666,1021.3111111111111,2.0
2016-01-02,7.829787234042553,Partly sunny,16.48936170212766,81.34042553191489,1007.5531914893617,2.0
2016-01-03,7.23404255319149,Scattered clouds,21.595744680851062,80.25531914893617,999.3191489361702,2.0
2016-01-04,7.086956521739131,Partly sunny,13.978260869565217,83.02173913043478,987.8913043478261,1.0
2016-01-05,7.085106382978723,Broken clouds,13.297872340425531,81.97872340425532,990.5744680851063,1.0
2016-01-07,6.534090909090909,Broken clouds,14.397727272727273,83.10227272727273,994.1477272727273,5.0
2016-01-08,5.444444444444445,Passing clouds,14.555555555555555,73.88888888888889,1002.2666666666667,2.0
2016-01-09,6.531914893617022,Partly sunny,14.702127659574469,82.53191489361703,998.3829787234042,2.0
2016-01-11,6.551724137931035,Broken clouds,17.64367816091954,80.72413793103448,988.2183908045977,3.0
2016-01-12,6.23404255319149,Scattered clouds,22.29787234042553,77.65957446808511,994.936170212766,2.0
2016-01-15,4.2785714285714285,Broken clouds,19.792857142857144,81.86428571428571,1008.7857142857143,1.0
2016-01-16,3.6363636363636362,Scattered clouds,16.545454545454547,74.77272727272727,1023.3863636363636,4.0
2016-01-17,0.37777777777777777,Passing clouds,7.4,74.44444444444444,1026.2222222222222,5.0
2016-01-19,-3.148936170212766,Sunny,6.787234042553192,76.07446808510639,1017.9468085106383,5.0
2016-01-20,0.9318181818181818,Broken clouds,8.954545454545455,71.45454545454545,1019.4772727272727,3.0
2016-01-24,3.6777777777777776,Fog,12.261111111111111,83.88888888888889,1027.1555555555556,1.0
2016-01-26,10.438202247191011,Passing clouds,16.921348314606742,73.82022471910112,1022.8651685393259,4.0
2016-01-29,8.75,Partly sunny,23.28787878787879,73.60606060606061,1020.0984848484849,2.0
2016-02-01,9.32183908045977,Partly sunny,25.919540229885058,80.17241379310344,1013.7241379310345,1.0
2016-02-03,7.2,Broken clouds,19.744444444444444,76.42222222222222,1017.1555555555556,3.0
2016-02-04,6.023809523809524,Broken clouds,18.5,81.42857142857143,1023.2857142857143,2.0
2016-02-05,9.456521739130435,Partly sunny,15.217391304347826,82.80434782608695,1022.0,1.0
2016-02-07,9.736263736263735,Scattered clouds,24.021978021978022,69.2967032967033,1002.5384615384615,6.0
2016-02-08,8.808510638297872,Broken clouds,35.02127659574468,71.34042553191489,991.5957446808511,2.0
2016-02-09,5.2439024390243905,Partly sunny,20.75609756097561,80.95121951219512,989.4878048780488,3.0
2016-02-11,4.78021978021978,Passing clouds,14.197802197802197,81.13186813186813,999.2417582417582,6.0
2016-02-12,3.6956521739130435,Passing clouds,12.391304347826088,77.73913043478261,998.695652173913,10.0
2016-02-13,1.0212765957446808,Partly sunny,11.574468085106384,84.55319148936171,988.4042553191489,3.0
2016-02-14,2.3555555555555556,Partly sunny,11.266666666666667,85.66666666666667,990.7333333333333,4.0
2016-02-15,3.425531914893617,Scattered clouds,16.148936170212767,69.8936170212766,1018.1914893617021,4.0
2016-02-17,0.03296703296703297,Passing clouds,5.329670329670329,74.62637362637362,1027.7032967032967,10.0
2016-02-18,2.111111111111111,Broken clouds,10.777777777777779,75.82222222222222,1014.3333333333334,9.0
2016-02-21,8.159090909090908,Broken clouds,23.0,80.13636363636364,1013.5,2.0
2016-02-25,4.843373493975903,Scattered clouds,11.22289156626506,78.62650602409639,1013.5722891566265,5.0
2016-03-01,3.1055045871559632,Broken clouds,14.495412844036696,68.79357798165138,1015.683486238532,3.0
2016-03-02,6.326086956521739,Broken clouds,23.630434782608695,76.58695652173913,998.4782608695652,7.0
2016-03-03,4.288888888888889,Scattered clouds,11.88888888888889,75.82222222222222,1001.4,11.0
2016-03-04,3.727272727272727,Broken clouds,13.068181818181818,81.9090909090909,994.2045454545455,5.0
2016-03-05,2.0444444444444443,Passing clouds,4.2,80.24444444444444,996.0666666666667,7.0
2016-03-06,4.478260869565218,Scattered clouds,15.369565217391305,81.02173913043478,1000.3913043478261,8.0
2016-03-08,3.5681818181818183,Partly sunny,7.8522727272727275,79.42045454545455,1009.7840909090909,8.0
2016-03-09,5.425,Passing clouds,21.475,61.55,1004.1,7.0
2016-03-11,5.2823529411764705,Scattered clouds,9.341176470588236,69.85882352941177,1022.6941176470589,10.0
2016-03-13,4.511111111111111,Sunny,11.61111111111111,71.13333333333334,1031.7,17.0
2016-03-14,4.288888888888889,Passing clouds,16.08888888888889,64.4888888888889,1031.8666666666666,18.0
2016-03-16,5.46067415730337,Scattered clouds,15.179775280898877,69.93258426966293,1027.8202247191011,12.0
2016-03-17,6.065217391304348,Sunny,11.934782608695652,62.41304347826087,1027.9565217391305,16.0
2016-03-19,5.693181818181818,Partly sunny,10.193181818181818,76.76136363636364,1023.6477272727273,5.0
2016-03-20,6.979166666666667,Broken clouds,10.770833333333334,73.97916666666667,1021.8958333333334,7.0
2016-03-23,8.0625,Scattered clouds,13.59375,76.609375,1016.9296875,10.0
2016-03-24,8.333333333333334,Partly sunny,12.555555555555555,72.66666666666667,1014.4,10.0
2016-03-25,7.533333333333333,Broken clouds,16.822222222222223,80.37777777777778,1013.5777777777778,10.0
2016-03-27,9.39080459770115,Partly sunny,20.344827586206897,70.13793103448276,1009.2873563218391,14.0
2016-04-01,9.238372093023257,Scattered clouds,19.313953488372093,65.91279069767442,1007.8139534883721,12.0
2016-04-02,10.568181818181818,Scattered clouds,9.477272727272727,69.88636363636364,1015.4090909090909,9.0
