temp,wind,humidity,barometer,day_power,sky_cover
0.312051806,0.234784492,0.778769153,0.638519724,0.058823529,2
0.36993865,0.412923562,0.725909979,0.424438896,0.058823529,3
0.352760736,0.572186969,0.709643982,0.296312646,0.058823529,5
0.348519605,0.334604628,0.75111326,0.118489072,0.029411765,3
0.348466258,0.313383933,0.735478212,0.160240582,0.029411765,6
0.332578081,0.3476874,0.752320478,0.215842468,0.147058824,6
0.301158828,0.35260992,0.614209713,0.34217765,0.058823529,4
0.332515337,0.357181369,0.743770681,0.28174532,0.058823529,3
0.333086524,0.448925635,0.716671684,0.123578718,0.088235294,6
0.32392638,0.594085687,0.670733166,0.228111076,0.058823529,5
0.26754163,0.515956558,0.733762765,0.443617631,0.029411765,6
0.249023982,0.414673046,0.627458655,0.6708118,0.117647059,5
0.155064758,0.129434698,0.62253762,0.714939326,0.147058824,4
0.053374233,0.110323089,0.646972053,0.586169318,0.147058824,2
0.171040156,0.177919546,0.577718339,0.609984186,0.088235294,6
0.250218132,0.2810483,0.764112037,0.729462508,0.029411765,7
0.445150617,0.426396829,0.613180421,0.662701716,0.117647059,4
0.396472393,0.624963081,0.609970051,0.61965059,0.058823529,3
0.412961004,0.70704219,0.708401211,0.520462231,0.029411765,3
0.351779141,0.51444661,0.652184968,0.573856985,0.088235294,6
0.317864446,0.475633528,0.727231306,0.66924564,0.058823529,6
0.416844492,0.373251971,0.747854514,0.649239216,0.029411765,3
0.424910672,0.647858964,0.545371783,0.346406928,0.176470588,5
0.398159509,0.990917009,0.576007655,0.17613221,0.058823529,6
0.295376328,0.545999144,0.72007569,0.143331502,0.088235294,3
0.282006337,0.34145192,0.722783655,0.295108404,0.176470588,4
0.250733529,0.285108908,0.671925728,0.286610692,0.294117647,4
0.173619632,0.259632533,0.774070087,0.126470872,0.088235294,3
0.212092706,0.250032489,0.790761339,0.162712613,0.117647059,3
0.242944785,0.402306001,0.554319659,0.589976687,0.117647059,5
0.145122362,0.064863012,0.62526478,0.737985663,0.294117647,4
0.205044308,0.234784492,0.643190829,0.529941648,0.264705882,6
0.37943391,0.615984405,0.707860811,0.516974521,0.058823529,6
0.283827334,0.248667183,0.685227695,0.51809938,0.147058824,5
0.233717003,0.350734124,0.537829818,0.550950773,0.088235294,6
0.326580421,0.635647089,0.654654374,0.283227963,0.205882353,6
0.267839127,0.26943903,0.643190829,0.328691838,0.323529412,5
0.251645287,0.306220096,0.734434405,0.216726591,0.147058824,6
0.203122018,0.02962963,0.709480968,0.245702225,0.205882353,4
0.273299547,0.377998135,0.721132796,0.312995976,0.235294118,5
0.247058003,0.14354067,0.697129168,0.459152923,0.235294118,3
0.30059816,0.568421053,0.4292469,0.370705329,0.205882353,4
0.296485023,0.189978214,0.553798096,0.66004007,0.294117647,5
0.274246762,0.260775395,0.572903294,0.800176574,0.5,2
0.267839127,0.400433182,0.473301528,0.802769999,0.529411765,4
0.301626801,0.372078761,0.554903787,0.739805127,0.352941176,5
0.319058416,0.270870413,0.442184123,0.741925984,0.470588235,2
0.308331009,0.21655148,0.657268777,0.674878762,0.147058824,3
0.345411554,0.234567901,0.615562998,0.647618325,0.205882353,6
0.376648773,0.322612086,0.654990432,0.570342353,0.294117647,5
0.384458078,0.290231752,0.595888317,0.530979018,0.294117647,3
0.361390593,0.423305177,0.711479665,0.518184786,0.294117647,6
0.41494958,0.53317201,0.557981983,0.451423459,0.411764706,3
0.410554287,0.501019992,0.494646147,0.428496497,0.352941176,5
0.448898494,0.194222931,0.554210929,0.54668103,0.264705882,5
0.608655642,0.299347402,0.494324062,0.435450758,0.5,4
0.53212493,0.312599681,0.578399713,0.38683172,0.323529412,5
0.46200502,0.213361687,0.671747979,0.417952824,0.235294118,5
0.387440942,0.484775156,0.627764099,0.446594322,0.235294118,6
0.373565099,0.162009963,0.627201247,0.485334731,0.441176471,4
0.437879869,0.271091165,0.49926523,0.437724266,0.588235294,5
0.525053503,0.346162564,0.397122484,0.435010216,0.352941176,4
0.431174205,0.1416202,0.579968458,0.444418922,0.382352941,4
0.465420426,0.293819516,0.593830835,0.412535755,0.5,4
0.425139107,0.503558638,0.575785138,0.331876323,0.294117647,6
0.365235174,0.350877193,0.515583501,0.508082777,0.705882353,5
0.419800976,0.323494651,0.435756438,0.713196762,0.676470588,5
0.505974292,0.313747331,0.353546227,0.66961613,0.676470588,2
0.406460197,0.420582916,0.454594842,0.587184483,0.441176471,5
0.302409098,0.425807065,0.586260445,0.560050684,0.647058824,5
0.303096019,0.374450338,0.71732082,0.440438316,0.205882353,6
0.293149284,0.650886475,0.588036291,0.346919913,0.441176471,5
0.313825082,0.580443356,0.647598809,0.425239637,0.382352941,5
0.312372188,0.156811783,0.596304713,0.528644935,0.470588235,5
0.374205862,0.391423002,0.560577992,0.507465295,0.352941176,4
0.39202454,0.25764174,0.521149783,0.602557559,0.382352941,5
0.419978661,0.284430884,0.392325306,0.728395069,0.794117647,4
0.460482495,0.23960486,0.405673914,0.701185721,0.676470588,4
0.522699387,0.256978143,0.242395248,0.656522879,0.823529412,4
0.628949387,0.228719948,0.334496139,0.50465575,0.735294118,4
0.694427403,0.122807018,0.288900849,0.451814708,0.558823529,4
0.727607362,0.343245821,0.211776901,0.452911396,0.794117647,4
0.722699387,0.398324416,0.254833951,0.467147646,0.558823529,4
0.650575153,0.245614035,0.699883055,0.436902512,0.323529412,6
0.695628834,0.180636777,0.505946923,0.363962423,0.588235294,4
0.71184816,0.257309942,0.348549482,0.298154254,0.617647059,2
0.665593047,0.362573099,0.392270994,0.368176739,0.735294118,4
0.425907464,0.545159194,0.408510412,0.544529666,0.617647059,5
0.417791411,0.417568745,0.478092732,0.634009739,0.411764706,5
0.444785276,0.185973207,0.403460511,0.63169221,0.470588235,4
0.519619121,0.184535413,0.468783638,0.573381523,0.382352941,5
0.566474949,0.305393112,0.459102447,0.436578334,0.411764706,5
